City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Chiredzi,ZW,2021-06-03 21:44:43,-21.05,31.6667,54.46,64,0,4.63
280,Bacolod,PH,2021-06-03 21:44:43,10.6667,122.95,79.23,89,97,5.66
281,Tautira,PF,2021-06-03 21:44:01,-17.7333,-149.15,84.22,83,54,16.69
282,Guerrero Negro,MX,2021-06-03 21:44:43,27.9769,-114.0611,74.03,49,4,13.06
283,Kango,GA,2021-06-03 21:44:43,0.1943,10.0951,74.91,96,33,1.74
284,Vermillion,US,2021-06-03 21:44:44,42.7794,-96.9292,90.27,36,76,9.53
285,Helong,CN,2021-06-03 21:44:44,42.5397,128.9972,55.67,67,26,7.29
286,Auki,SB,2021-06-03 21:44:44,-8.7676,160.7034,81.03,83,100,3.62
287,Saint George,US,2021-06-03 21:44:39,37.1041,-113.5841,106.27,11,1,5.01
288,Malyye Derbety,RU,2021-06-03 21:44:45,47.9547,44.6808,59.4,83,3,14.07
289,Truth Or Consequences,US,2021-06-03 21:44:45,33.1284,-107.2528,92.91,15,1,5.59
290,Ostersund,SE,2021-06-03 21:44:45,63.1792,14.6357,61.25,44,34,10.36
291,Bardiyah,LY,2021-06-03 21:44:46,31.7561,25.0865,69.03,69,0,5.39
292,Iqaluit,CA,2021-06-03 21:44:46,63.7506,-68.5145,33.53,69,75,11.99
293,Tomatlan,MX,2021-06-03 21:44:46,19.9333,-105.25,85.42,56,100,3.11
