City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Nerchinskiy Zavod,RU,51.3088,119.61,48.97,57,4,1.72,clear sky
236,Forbes,AU,-33.3833,148.0167,36.91,71,71,3.15,broken clouds
237,Nipawin,CA,53.3668,-104.0009,71.64,49,1,12.66,clear sky
238,Garden City,US,42.3256,-83.331,88.88,47,75,1.01,broken clouds
239,Vuktyl,RU,63.8567,57.3094,61.95,58,70,1.92,broken clouds
240,Tiksi,RU,71.6872,128.8694,34.81,77,100,5.46,overcast clouds
241,Kodiak,US,57.79,-152.4072,53.11,54,1,9.22,clear sky
242,Lorengau,PG,-2.0226,147.2712,80.1,81,79,3.15,broken clouds
243,Gamba,GA,-2.65,10.0,76.89,88,68,6.42,broken clouds
244,Pevek,RU,69.7008,170.3133,40.82,94,100,8.86,overcast clouds
245,Vila,PT,42.0304,-8.1588,72.73,46,22,6.24,few clouds
246,Jiaozuo,CN,35.2397,113.2331,80.38,19,0,9.89,light rain
247,Batemans Bay,AU,-35.7167,150.1833,48.9,68,38,5.28,scattered clouds
248,Sao Filipe,CV,14.8961,-24.4956,77.68,66,46,13.91,scattered clouds
249,Indian Head,US,38.6001,-77.1622,94.28,43,1,2.21,clear sky
250,Vanavara,RU,60.34,102.2797,40.19,60,94,2.66,overcast clouds
251,Belmonte,BR,-15.8631,-38.8828,81.1,70,48,10.0,scattered clouds
252,Novobirilyussy,RU,56.9514,90.6661,42.67,66,36,5.55,scattered clouds
253,Denpasar,ID,-8.65,115.2167,80.26,94,40,5.01,scattered clouds
254,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,5.44,broken clouds
255,Lac Du Bonnet,CA,50.2536,-96.0612,86.59,27,55,3.42,broken clouds
256,Hofn,IS,64.2539,-15.2082,48.65,82,98,5.79,overcast clouds
257,Borgarnes,IS,64.5383,-21.9206,57.81,79,100,9.01,overcast clouds
258,Shirokiy,RU,49.758,129.523,49.24,86,86,1.21,overcast clouds
259,Puerto Leguizamo,CO,-0.1934,-74.7819,88.63,55,56,0.76,broken clouds
260,Marsa Matruh,EG,31.3525,27.2453,75.4,53,0,18.41,clear sky
261,Paranaiba,BR,-19.6772,-51.1908,89.76,21,33,8.28,scattered clouds
262,Doka,SD,13.5167,35.7667,89.6,32,79,8.48,broken clouds
263,Flinders,AU,-34.5833,150.8552,51.06,60,66,1.01,broken clouds
264,Comodoro Rivadavia,AR,-45.8667,-67.5,51.66,43,40,19.57,scattered clouds
265,Griffith,US,41.5284,-87.4237,88.48,46,1,5.99,clear sky
266,Beidao,CN,34.5686,105.8933,65.01,69,70,4.79,broken clouds
267,Cidreira,BR,-30.1811,-50.2056,77.67,62,19,6.51,few clouds
268,Aragats,AM,40.4889,44.3528,51.37,71,69,4.29,broken clouds
269,Mayumba,GA,-3.432,10.6554,77.76,86,72,6.22,broken clouds
270,Paraiso,CR,9.8383,-83.8656,76.91,71,87,3.29,overcast clouds
271,Leshukonskoye,RU,64.8989,45.7622,63.09,56,16,7.81,few clouds
272,Kavieng,PG,-2.5744,150.7967,81.5,80,88,9.64,moderate rain
273,Chemax,MX,20.65,-87.9333,95.43,38,96,7.29,overcast clouds
274,La Orilla,MX,17.9833,-102.2333,87.66,58,73,9.86,broken clouds
275,Ambon,ID,-3.6954,128.1814,77.14,94,40,10.09,scattered clouds
276,Vostok,RU,46.4856,135.8833,45.95,95,80,1.99,broken clouds
277,Chara,RU,56.9064,118.2631,58.96,46,100,3.0,overcast clouds
278,Jinchang,CN,38.4953,102.1739,74.98,25,93,19.69,overcast clouds
279,Nova Mayachka,UA,46.6,33.2271,66.56,67,69,6.04,broken clouds
280,Palu,ID,-0.8917,119.8707,76.28,96,93,2.44,overcast clouds
281,Boyolangu,ID,-8.1181,111.8935,75.85,93,72,1.9,broken clouds
282,Bheramara,BD,24.0232,88.9925,88.11,56,85,9.51,overcast clouds
283,Kungurtug,RU,50.5994,97.5228,44.37,94,99,6.67,overcast clouds
284,Kiskore,HU,47.5,20.5,78.8,73,59,7.65,broken clouds
285,Socorro,US,31.6546,-106.3033,90.1,22,1,9.8,clear sky
286,Yatou,CN,37.15,122.3833,62.44,71,0,6.4,clear sky
287,Lincoln,US,40.8,-96.667,90.86,46,1,5.01,clear sky
288,Udachnyy,RU,66.4167,112.4,42.1,58,15,12.59,few clouds
289,Seddon,AU,-37.8068,144.8916,53.67,83,90,5.99,overcast clouds
290,Nisia Floresta,BR,-6.0911,-35.2086,86.81,62,27,13.42,scattered clouds
291,Chilca,PE,-12.5211,-76.7372,67.84,74,56,5.5,broken clouds
292,Sooke,CA,48.3746,-123.7276,59.02,82,82,14.99,broken clouds
293,Portlethen,GB,57.0547,-2.1307,65.97,62,9,4.0,clear sky
294,East London,ZA,-33.0153,27.9116,59.94,82,0,5.75,clear sky
295,Pouebo,NC,-20.4,164.5667,70.39,85,97,7.25,overcast clouds
296,Manokwari,ID,-0.8667,134.0833,77.54,82,100,4.09,overcast clouds
297,Tairua,NZ,-37.0167,175.85,61.09,85,100,11.83,moderate rain
298,Abu Zabad,SD,12.35,29.25,82.62,56,66,16.62,broken clouds
299,Anamur,TR,36.0751,32.8369,77.02,52,0,10.96,clear sky
300,Carnarvon,AU,-24.8667,113.6333,60.87,77,87,6.91,overcast clouds
301,College,US,64.8569,-147.8028,64.2,59,40,0.0,scattered clouds
302,Bayanday,RU,53.0661,105.5139,58.37,64,75,3.89,broken clouds
303,Tosya,TR,41.0155,34.0401,51.48,78,96,3.85,overcast clouds
304,Jurbarkas,LT,55.0778,22.7664,62.78,78,32,4.76,scattered clouds
305,Geraldton,AU,-28.7667,114.6,48.61,87,0,7.65,clear sky
306,Ovre Ardal,NO,61.3167,7.8,67.19,48,100,3.13,overcast clouds
307,Pacific Grove,US,36.6177,-121.9166,68.81,73,20,1.99,few clouds
308,Waw,SS,7.7029,27.9953,71.22,80,98,8.59,light rain
309,Mahon,ES,39.8885,4.2658,66.76,94,75,3.44,moderate rain
310,Tokomaru,NZ,-40.4667,175.5,57.09,96,99,3.83,moderate rain
311,Salamiyah,SY,35.0113,37.0532,70.99,46,0,11.63,clear sky
312,Leiyang,CN,26.4024,112.8591,66.15,79,0,3.38,clear sky
313,Karratha,AU,-20.7377,116.8463,71.92,76,25,9.06,scattered clouds
314,Matara,LK,5.9485,80.5353,78.4,89,73,10.42,broken clouds
315,Athabasca,CA,54.7169,-113.2854,63.01,46,91,4.52,overcast clouds
316,Porto Walter,BR,-8.2686,-72.7439,87.8,55,42,2.35,scattered clouds
317,Shelabolikha,RU,53.4131,82.6167,49.46,74,88,6.93,overcast clouds
318,Alugan,PH,12.2188,125.4808,77.76,89,99,4.63,light rain
319,Acapulco,MX,16.8634,-99.8901,89.42,62,75,7.45,broken clouds
320,Antalaha,MG,-14.9003,50.2788,72.95,89,92,3.0,overcast clouds
321,Dicabisagan,PH,17.0818,122.4157,80.44,86,92,6.31,overcast clouds
322,Zhigansk,RU,66.7697,123.3711,41.7,73,41,6.08,scattered clouds
323,Baykit,RU,61.67,96.37,37.87,77,43,3.74,scattered clouds
324,Alice Springs,AU,-23.7,133.8833,38.75,75,0,5.26,clear sky
325,Regina,CA,50.4501,-104.6178,84.31,29,75,19.57,broken clouds
326,Pangai,TO,-19.8,-174.35,74.66,65,43,15.35,scattered clouds
327,Catamarca,AR,-28.4696,-65.7852,76.05,66,45,4.0,scattered clouds
328,Nome,US,64.5011,-165.4064,33.87,86,90,9.22,light snow
329,Sovetskiy,RU,61.3614,63.5842,67.35,40,83,7.05,broken clouds
330,Muli,MV,2.9167,73.5667,83.39,76,90,15.35,overcast clouds
331,Inuvik,CA,68.3499,-133.7218,36.61,87,90,9.22,overcast clouds
332,San Cristobal,VE,7.7669,-72.225,84.38,55,77,7.83,broken clouds
333,Derzhavinsk,KZ,51.1,66.3167,58.66,36,95,8.03,overcast clouds
334,Lasa,IT,46.6166,10.7002,63.48,87,67,2.1,broken clouds
335,Torbay,CA,47.6666,-52.7314,60.76,87,90,6.91,overcast clouds
336,Dunmore Town,BS,25.5,-76.65,79.34,81,87,15.26,overcast clouds
337,Yulara,AU,-25.2406,130.9889,44.44,70,0,4.61,clear sky
338,Lucea,JM,18.451,-78.1736,85.86,75,13,13.82,few clouds
339,Maymyo,MM,22.0333,96.4667,69.08,90,84,1.48,broken clouds
340,Canon City,US,38.441,-105.2424,92.28,19,1,7.0,clear sky
341,Morwell,AU,-38.2333,146.4,52.92,81,92,4.59,overcast clouds
342,Alofi,NU,-19.0595,-169.9187,71.49,78,85,8.05,overcast clouds
343,Moroni,KM,-11.7022,43.2551,77.14,80,67,18.12,light rain
344,Beloha,MG,-25.1667,45.05,63.27,75,59,9.24,broken clouds
345,Kaitangata,NZ,-46.2817,169.8464,44.92,79,100,4.59,overcast clouds
